Ticker,Name
0KOLLN,PROSHARES TRUST-PROSHARES SHORT S&P500 ETF
ACWI,ISHARES TRUST - ISHARES MSCI ACWI ETF
ACWX,ISHARES TRUST - ISHARES MSCI ACWI EX U.S. ETF
AGG,ISHARES TRUST-ISHARES CORE U.S. AGGREGATE BOND ETF
AIQ,GLOBAL X FUNDS - GLOBAL X ARTIFICIAL INTELLIGENCE & TECH ETF
AOA,ISHARES TRUST - ISHARES CORE AGGRESSIVE ALLOCATION ETF
ARKB,ARK 21SHARES BITCOIN ETF
ASHR,DBX ETF TRUST - XTRACKERS HARVEST CSI 300 CHINA A-SHARES ETF
ASHS,DBX ETF TRUST
BBC,ETFIS SERIES TRUST I - VTS LFSCI BIOTECH CLNCL TRLS ETF
BBCA,JP MORGAN EXCHANGE-TRADED FUND TRUST - JPMORGAN BDC & CANADA ETF
BBEU,JP MORGAN EXCHANGE-TRADED FD TR-JPM BETABUILDERS EUR ETF
BBJP,JP MORGAN EXCHANGE-TRADED FD TR-JPMORGAN BETABUILDERS ETF
BIL,STATE STREET SPDR BLOOMBERG 1-3 MONTH T-BILL ETF
BITB,WISDOMTREE BITCOIN ETF
BITC,WISDOMTREE BITCOIN FUND
BITO,THE 2023 ETF SERIES TRUST - BRANDES INTERNATIONAL ETF
BLV,VANGUARD BOND INDEX FUNDS-VANGUARD LONG-TERM BOND INDEX FUND
BND,VANGUARD BOND INDEX FUNDS-VANGUARD TOTAL MARKET INDEX
BNDX,VANGUARD CHARLOTTE FUNDS - VANGUARD TOTAL INTERNATIONAL BOND
BNO,"UNITED STATES BRENT OIL FUND, LP"
BOND,PIMCO ETF TRUST - PIMCO ACTIVE BOND EXCHANGE-TRADED FUND
BRRR,VALKYRIE BITCOIN FUND
BSMC,THE 2023 ETF SERIES TRUST - BRAN U.S. SMALL-MI CA VALUE ETF
BSV,VANGUARD SHORT TERM BOND INDEX
BTC,GRAYSCALE BITCOIN MINI TRUST (BTC)
BTCO,INVESCO GALAXY BITCOIN ETF
BTCW,WISDOMTREE BITCOIN FUND
BUSA,THE 2023 ETF SERIES TRUST - BRANDES U.S. VALUE ETF
CANE,TEUCRIUM COMMODITY TRUST - TEUCRIUM SUGAR FUND
CORN,TEUCRIUM COMMODITY TRUST - TEUCRIUM CORN FUND
CPER,UNITED STATES COMMODITY INDEX FUNDS TRUST-US COPPER ETF
DBA,INVESCO DB MULTI-SECTOR COMMODITY TRUST - INVESCO DB AGRI FD
