Ticker,Name,Bucket
SPY,SPDR SP 500 ETF TRUST,Core US equity
VTI,VANGUARD TOTAL STOCK MARKET INDEX,Core US equity
ACWI,ISHARES TRUST - ISHARES MSCI ACWI ETF,Global / ex-US equity
BIL,STATE STREET SPDR BLOOMBERG 1-3 MONTH T-BILL ETF,Defensive
XSD,SPDR SERIES TRUST-SPDR S&P SEMICONDUCTOR ETF,High-beta sectors
IEFA,ISHARES TRUST - ISHARES CORE MSCI EAFE ETF,Global / ex-US equity
IEMG,"ISHARES, INC. - ISHARES CORE MSCI EMERGING MARKETS ETF",Global / ex-US equity
AGG,ISHARES TRUST-ISHARES CORE U.S. AGGREGATE BOND ETF,Defensive
GLD,SPDR GOLD TRUST,Real assets
USO,"UNITED STATES OIL FUND, LP",Real assets
SHY,ISHARES TRUST-ISHARES 1-3 YEAR TREASURY BOND ETF,Defensive
VTV,VANGUARD INDEX FUNDS - VANGUARD VALUE INDEX FUND,Style & dividends
XBI,SPDR S&P BIOTECH ETF,High-beta satellites
PBD,INVESCO EXCH-TRADED FD TR II-INVESCO GLOBAL CLEAN ENERGY ETF,High-beta satellites
IBIT,ISHARES BITCOIN TRUST,Speculative satellite
QQQM,INV NASDAQ 100 IDX,Large cap growth
GTEK,GOLDMAN SACHS ETF TRUST - GOLDMAN SACHS FUTURE TECH LEADERS ETF,High-beta satellites
CPER,UNITED STATES COMMODITY INDEX FUNDS TRUST-US COPPER ETF,Real assets
